ID,ISOMERIC SMILES,MW,pAct
CHEMBL4749443,COc1ccc(S(=O)(=O)Nc2ccccc2NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1,502.167476312,5.97061622231479
CHEMBL492956,O=C(/C=C/c1ccc(C(=O)Nc2cccc(Nc3ncc(-c4cccnc4)s3)c2)cc1)NO,457.120860468,7.0
CHEMBL479278,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3ccc(N4CCOCC4)nc3)n2)cc1,481.2226231040001,7.301029995663981
CHEMBL480430,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3ccc(C(=O)N4CCOCC4)nc3)n2)cc1,509.21753772400007,6.6020599913279625
CHEMBL1808621,O=C(/C=C/c1ccc2c(c1)CN(C(=O)C1CCCCC1)C2)NO,314.163042564,6.4089353929735005
CHEMBL1808624,O=C(/C=C/c1ccc2c(c1)CN(C(=O)Cc1ccccc1)C2)NO,322.131742436,6.886056647693163
CHEMBL1808629,O=C(/C=C/c1ccc2c(c1)CN(S(=O)(=O)Cc1ccccc1)C2)NO,358.09872805599997,6.920818753952375
CHEMBL1808640,COc1ccc(S(=O)(=O)N2Cc3ccc(/C=C/C(=O)NO)cc3C2)cc1,374.093642676,7.455931955649724
CHEMBL3220923,CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C,476.26348487199994,6.6020599913279625
CHEMBL5197066,CC(C)(C)NC(=O)CN(Cc1ccc(C(=O)NO)cc1F)C(=O)c1ccccc1Cl,435.136112116,5.459670525209126
CHEMBL443241,COCCSC(=S)SCC(=O)c1ccc(OC)cc1,316.026157372,5.048662481204082
CHEMBL5186798,C#Cc1nc(/C=C/CCCCCC(=O)NO)cs1,264.093248752,7.142667503568731
CHEMBL5081674,O=C(NO)c1ccc(/C=C/c2ccnc(-c3cccc(O)c3)c2)cc1,332.11609237199997,6.5376020021010435
CHEMBL5170300,COc1c(OCCCCCC(=O)NO)ccc2c1N=C(NC(=O)c1ccccc1)N1CCN=C21,465.2012189640001,7.301029995663981
CHEMBL5283177,Cc1cccc2c(C(=O)N3CCN(Cc4ccc(C(=O)NO)cc4)CC3)c[nH]c12,392.184840628,5.856985199745905
CHEMBL5202801,CCCCCCNNC(=O)c1cnc(NCCc2ccccc2)nc1,341.22156048400007,5.657577319177793
